,precision,recall,f1-score,support
Pepper__bell___Bacterial_spot,0.9949748743718593,0.9949748743718593,0.9949748743718593,199.0
Pepper__bell___healthy,0.9966216216216216,0.9966216216216216,0.9966216216216216,296.0
Potato___Early_blight,1.0,1.0,1.0,200.0
Potato___Late_blight,1.0,1.0,1.0,200.0
Potato___healthy,0.967741935483871,1.0,0.9836065573770492,30.0
Tomato_Bacterial_spot,0.9976470588235294,0.9976470588235294,0.9976470588235294,425.0
Tomato_Early_blight,0.9900497512437811,0.995,0.9925187032418953,200.0
Tomato_Late_blight,0.9973753280839895,0.9947643979057592,0.9960681520314548,382.0
Tomato_Leaf_Mold,1.0,0.9947368421052631,0.9973614775725593,190.0
Tomato_Septoria_leaf_spot,0.9943820224719101,1.0,0.9971830985915493,354.0
Tomato_Spider_mites_Two_spotted_spider_mite,1.0,0.9880597014925373,0.993993993993994,335.0
Tomato__Target_Spot,0.9823943661971831,0.9928825622775801,0.9876106194690265,281.0
Tomato__Tomato_YellowLeaf__Curl_Virus,1.0,0.9984423676012462,0.9992205767731879,642.0
Tomato__Tomato_mosaic_virus,1.0,1.0,1.0,75.0
Tomato_healthy,1.0,1.0,1.0,318.0
accuracy,0.9966077053549794,0.9966077053549794,0.9966077053549794,0.9966077053549794
macro avg,0.9947457972198497,0.9968752950799598,0.9957871155911818,4127.0
weighted avg,0.9966328171790213,0.9966077053549794,0.9966119824165428,4127.0
